id_producto;nombre;categoria;subcategoria;marca;precio_lista;costo
1;Cetirizina 10mg;Medicamentos;Cardiovascular;Genérico;47.44;24.71
2;Gel de Ducha Aloe Vera;Cuidado Personal;Higiene Bucal;SaludTotal Labs;6.09;2.68
3;Limpiador Facial Espumoso;Dermocosmética;Antiedad;BienestarLab;89.85;61.37
4;Colágeno Hidrolizado;Suplementos y Vitaminas;Proteínas y Aminoácidos;BioSana;25.46;16.42
5;Pañales Talla G x26;Cuidado del Bebé;Accesorios Bebé;PharmaPlus;8.54;5.92
6;Nebulizador Portátil;Equipos Médicos;Nebulizadores;CardioSalud;35.4;14.44
7;Vendas Elásticas;Insumos Médicos;Alcohol y Antisépticos;NovaSalud;16.53;6.7
8;Amoxicilina 500mg;Medicamentos;Analgésicos;VitalCare;37.63;24.42
9;Jabón en Barra Glicerina;Cuidado Personal;Higiene Femenina;FarmaVida;37.92;20.14
10;Contorno de Ojos;Dermocosmética;Cuidado Facial;CardioSalud;26.23;12.98
11;Proteína Whey Vainilla;Suplementos y Vitaminas;Omega 3;BienestarLab;12.92;5.52
12;Pañales Talla G x26;Cuidado del Bebé;Accesorios Bebé;BienestarLab;66.16;37.87
13;Tensiómetro Digital de Brazo;Equipos Médicos;Tensiómetros;FarmaVida;81.0;33.14
14;Alcohol Medicinal 70° 250ml;Insumos Médicos;Guantes;BioSana;17.02;7.18
15;Atorvastatina 20mg;Medicamentos;Cardiovascular;BienestarLab;35.52;19.31
16;Protectores Diarios;Cuidado Personal;Higiene Bucal;VitalCare;17.99;11.13
17;Limpiador Facial Espumoso;Dermocosmética;Protección Solar;CardioSalud;126.0;65.25
18;Zinc 50mg;Suplementos y Vitaminas;Multivitamínicos;MediFarma;11.33;6.49
19;Fórmula Infantil Etapa 1;Cuidado del Bebé;Pañales;BienestarLab;8.43;3.84
20;Nebulizador Portátil;Equipos Médicos;Termómetros;NovaSalud;274.52;186.07
21;Guantes de Látex x100;Insumos Médicos;Alcohol y Antisépticos;DermaPro;36.77;16.36
22;Ibuprofeno 400mg;Medicamentos;Gastrointestinales;MediFarma;6.62;4.02
23;Enjuague Bucal Menta;Cuidado Personal;Desodorantes;NovaSalud;25.29;15.62
24;Protector Solar SPF50;Dermocosmética;Cuidado Capilar;NovaSalud;28.75;13.97
25;Calcio + Vitamina D;Suplementos y Vitaminas;Multivitamínicos;CardioSalud;30.06;18.73
26;Pañales Talla M x30;Cuidado del Bebé;Fórmulas Infantiles;CardioSalud;9.96;6.65
27;Termómetro Digital;Equipos Médicos;Nebulizadores;FarmaVida;205.88;101.16
28;Algodón 500g;Insumos Médicos;Mascarillas;SaludTotal Labs;17.59;8.33
29;Ranitidina 150mg;Medicamentos;Gastrointestinales;SaludTotal Labs;19.52;12.72
30;Desodorante Roll-On;Cuidado Personal;Higiene Bucal;DermaPro;7.8;4.39
31;Shampoo Anticaspa;Dermocosmética;Antiedad;Genérico;52.3;34.69
32;Proteína Whey Vainilla;Suplementos y Vitaminas;Multivitamínicos;MediFarma;33.13;16.75
33;Fórmula Infantil Etapa 1;Cuidado del Bebé;Pañales;DermaPro;31.47;20.47
34;Termómetro Digital;Equipos Médicos;Nebulizadores;VitalCare;248.5;153.87
35;Algodón 500g;Insumos Médicos;Gasas y Vendas;Genérico;14.28;7.77
36;Enalapril 10mg;Medicamentos;Analgésicos;MediFarma;17.47;10.94
37;Jabón en Barra Glicerina;Cuidado Personal;Higiene Femenina;NovaSalud;14.83;9.11
38;Protector Solar SPF50;Dermocosmética;Protección Solar;BioSana;72.81;49.84
39;Multivitamínico Adultos;Suplementos y Vitaminas;Multivitamínicos;MediFarma;30.36;19.93
40;Pañales Talla G x26;Cuidado del Bebé;Accesorios Bebé;PharmaPlus;26.64;13.28
41;Nebulizador Portátil;Equipos Médicos;Nebulizadores;MediFarma;260.31;153.5
42;Guantes de Látex x100;Insumos Médicos;Gasas y Vendas;PharmaPlus;17.16;7.81
43;Clorfenamina 4mg;Medicamentos;Analgésicos;Genérico;13.63;9.37
44;Talco Corporal;Cuidado Personal;Desodorantes;Genérico;11.93;5.81
45;Serum Vitamina C;Dermocosmética;Cuidado Capilar;FarmaVida;89.19;57.77
46;Magnesio Quelado;Suplementos y Vitaminas;Multivitamínicos;SaludTotal Labs;89.62;59.04
47;Pañales Talla M x30;Cuidado del Bebé;Accesorios Bebé;DermaPro;24.1;12.96
48;Nebulizador Portátil;Equipos Médicos;Tensiómetros;SaludTotal Labs;237.79;108.15
49;Alcohol Medicinal 70° 250ml;Insumos Médicos;Mascarillas;MediFarma;11.19;7.52
50;Omeprazol 20mg;Medicamentos;Gastrointestinales;VitalCare;53.31;34.3
51;Gel de Ducha Aloe Vera;Cuidado Personal;Higiene Corporal;NovaSalud;30.13;12.98
52;Crema Antiarrugas;Dermocosmética;Antiedad;BienestarLab;117.09;52.07
